index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
0,Bert-Base,WikiText,2,256/32,0.54,NA,"6,6",Empty,NA,0,0,0.0
1,Bert-Base,WikiText,2,256/32,0.56,NA,"4,8",Empty,NA,0,0,0.0
2,Bert-Base,WikiText,2,256/32,0.58,NA,"8,4",Empty,NA,0,0,0.0
3,Bert-Base,WikiText,2,256/32,0.57,NA,"10,2",Empty,NA,0,0,0.0
4,Bert-Base,WikiText,2,256/32,0.55,NA,"2,10",Empty,NA,0,0,0.0
5,Bert-Base,WikiText,2,256/64,0.59,NA,TP24,Empty,NA,0,0,0.0
6,Bert-Base,WikiText,2,256/32,1.0,NA,DP24,Empty,NA,0,0,0.0
7,GPT2,WikiText,2,512/8,0.79,NA,"6,6",Empty,NA,0,0,0.0
8,GPT2,WikiText,2,512/8,0.68,NA,"4,8",Empty,NA,0,0,0.0
9,GPT2,WikiText,2,512/8,0.97,NA,"8,4",Empty,NA,0,0,0.0
10,GPT2,WikiText,2,512/8,0.79,NA,"10,2",Empty,NA,0,0,0.0
11,GPT2,WikiText,2,512/8,0.59,NA,"2,10",Empty,NA,0,0,0.0
12,GPT2,WikiText,2,512/16,0.76,NA,TP24,Empty,NA,0,0,0.0
13,GPT2,WikiText,2,512/8,1.0,NA,DP24,Empty,NA,0,0,0.0
14,GPT2-Medium,WikiText,4,512/4,0.71,NA,"6,6,6,6",Empty,NA,0,0,0.0
15,GPT2-Medium,WikiText,4,512/4,0.82,NA,"4,8,8,4",Empty,NA,0,0,0.0
16,GPT2-Medium,WikiText,4,512/4,0.71,NA,"2,8,8,6",Empty,NA,0,0,0.0
17,GPT2-Medium,WikiText,4,512/4,0.68,NA,"2,10,10,2",Empty,NA,0,0,0.0
18,GPT2-Medium,WikiText,4,512/16,0.68,NA,TP24,Empty,NA,0,0,0.0
19,GPT2-Medium,WikiText,4,512/4,1.0,NA,DP24,Empty,NA,0,0,0.0
20,Bert-Large,WikiText,4,256/16,0.6,NA,"6,6,6,6",Empty,NA,0,0,0.0
21,Bert-Large,WikiText,4,256/16,0.63,NA,"4,8,8,4",Empty,NA,0,0,0.0
22,Bert-Large,WikiText,4,256/16,0.63,NA,"2,8,8,6",Empty,NA,0,0,0.0
23,Bert-Large,WikiText,4,256/16,0.64,NA,"2,10,10,2",Empty,NA,0,0,0.0
24,Bert-Large,WikiText,4,256/32,0.67,NA,TP24,Empty,NA,0,0,0.0
25,Bert-Large,WikiText,4,256/8,1.0,NA,DP24,Empty,NA,0,0,0.0
26,GPT2-XL,WikiText,8,512/2,0.88,NA,"6,6,6,6,6,6,6,6",Empty,NA,0,0,0.0
27,GPT2-XL,WikiText,8,512/2,0.62,NA,"3,3,3,6,6,9,9,9",Empty,NA,0,0,0.0
28,GPT2-XL,WikiText,8,512/2,0.75,NA,"3,4,5,6,6,8,8,8",Empty,NA,0,0,0.0
29,GPT2-XL,WikiText,8,512/2,0.75,NA,"4,6,7,7,7,7,6,4",Empty,NA,0,0,0.0
30,GPT2-XL,WikiText,8,512/1,0.0,NA,TP24,Empty,NA,0,0,0.0
31,GPT2-XL,WikiText,8,512/1,1.0,NA,DP24,Empty,NA,0,0,0.0
32,resnet50,ImageNet,1,32,0.53,0,NA,resnet50,ImageNet,1,32,0.53
33,vgg19,ImageNet,1,32,0.77,0,NA,resnet50,ImageNet,1,32,0.29
34,vgg19,ImageNet,1,32,0.35,0,NA,vgg19,ImageNet,1,32,0.35
35,DCGAN,LSUN,1,128,0.82,0,NA,resnet50,ImageNet,1,32,0.71
36,DCGAN,LSUN,1,128,0.41,0,NA,vgg19,ImageNet,1,32,0.87
37,DCGAN,LSUN,1,128,0.7,0,NA,DCGAN,LSUN,1,128,0.71
38,PointNet,ShapeNet,1,32,1.0,0,NA,resnet50,ImageNet,1,32,0.73
39,PointNet,ShapeNet,1,32,1.0,0,NA,vgg19,ImageNet,1,32,0.88
40,PointNet,ShapeNet,1,32,1.0,0,NA,DCGAN,LSUN,1,128,0.9
41,PointNet,ShapeNet,1,32,1.0,0,NA,PointNet,ShapeNet,1,32,1.0
42,Bert-Base,WikiText,2,256/16,0.5,"0,1","6,6",resnet50,ImageNet,2,32,0.67
