,num_jobs,job_combinations,solve_time_millis,setup_time_millis,total_time_millis
0,12,78,2.290718,0.589829,2.880547
1,11,66,1.95727,0.498356,2.455626
2,8,36,1.0216640000000001,0.299998,1.3216620000000001
3,7,28,0.731504,0.233452,0.964956
4,6,21,0.564657,0.15859,0.723247
5,5,15,0.413132,0.197913,0.6110450000000001
6,4,10,0.17382199999999998,0.063709,0.237531
7,3,6,0.11022900000000001,0.067842,0.178071
8,2,3,0.057444,0.028795,0.08623900000000001
9,1,1,0.02809,0.028599,0.056689
16,41,861,23.264528,4.435701,27.700229
17,37,703,18.79391,3.407579,22.201489000000002
18,33,561,13.776784000000001,5.1068,18.883584
19,32,528,18.503666,7.7777970000000005,26.281463
20,31,496,17.742195,7.029166,24.771361
21,30,465,11.448849000000001,3.932424,15.381273
22,28,406,9.784862,3.1332750000000003,12.918137000000002
23,27,378,9.0261,2.875887,11.901987
24,26,351,8.313845,2.713946,11.027791
25,25,325,7.726305,2.406917,10.133222
26,24,300,6.8868480000000005,2.173316,9.060164
27,23,276,6.470407,1.945872,8.416279
28,22,253,5.797766,1.729034,7.5268
29,20,210,4.860678,1.384508,6.245186
30,19,190,4.647850999999999,1.210729,5.858579999999999
31,18,171,3.618017,1.0343419999999999,4.652359
32,17,153,3.283154,0.934899,4.218053
33,16,136,2.903254,0.781745,3.684999
34,15,120,2.380354,0.690812,3.071166
35,14,105,1.9671950000000002,0.595882,2.5630770000000003
36,13,91,1.773592,0.5186989999999999,2.292291
37,12,78,1.500423,0.429774,1.9301970000000002
38,11,66,1.273895,0.370021,1.643916
39,10,55,1.0777409999999998,0.302671,1.3804119999999998
40,9,45,0.886105,0.24445100000000003,1.1305560000000001
41,8,36,0.737894,0.202708,0.940602
42,7,28,0.544357,0.15123099999999998,0.695588
43,6,21,0.40369,0.127717,0.531407
44,5,15,0.29957999999999996,0.106057,0.40563699999999997
45,4,10,0.177413,0.071784,0.249197
46,3,6,0.109319,0.059138,0.168457
47,2,3,0.065393,0.036465,0.101858
48,1,1,0.027438,0.020216,0.047654
49,23,276,7.563325,2.0469199999999996,9.610244999999999
50,22,253,6.883705,1.805928,8.689633
51,20,210,5.2657,1.42939,6.6950899999999995
52,17,153,3.319906,0.892154,4.21206
53,16,136,2.724081,0.751378,3.475459
54,15,120,2.383665,0.6435339999999999,3.027199
55,14,105,2.017604,0.5609569999999999,2.5785609999999997
56,13,91,1.770078,0.481487,2.2515650000000003
57,12,78,1.507196,0.411848,1.919044
58,11,66,1.1752559999999999,0.35310400000000003,1.52836
59,10,55,0.9914069999999999,0.29423900000000003,1.2856459999999998
60,9,45,0.806389,0.23657499999999998,1.042964
61,8,36,0.653286,0.211703,0.864989
62,7,28,0.5086790000000001,0.16123,0.6699090000000001
63,6,21,0.402387,0.119744,0.522131
64,5,15,0.29132399999999997,0.119289,0.410613
65,4,10,0.180109,0.077463,0.257572
66,3,6,0.117618,0.057783,0.175401
67,2,3,0.060232,0.032350000000000004,0.092582
68,1,1,0.025234,0.01518,0.040414
70,44,990,29.080576999999998,6.2195920000000005,35.300169
71,38,741,19.698132,4.273654,23.971786
72,35,630,17.152516,3.595394,20.747909999999997
73,33,561,13.915132,5.079549,18.994681
74,31,496,12.254817,4.1686309999999995,16.423448
75,30,465,11.423248000000001,3.827895,15.251143
76,29,435,10.717955,3.492929,14.210884
77,26,351,8.212663000000001,2.480403,10.693066000000002
78,25,325,7.499645999999999,2.207349,9.706995
79,22,253,5.4839579999999994,1.6206809999999998,7.104638999999999
80,20,210,4.385536,1.3206,5.706136
81,18,171,3.7114930000000004,1.007974,4.719467
82,17,153,3.2516429999999996,0.9343710000000001,4.186014
83,16,136,2.702131,0.794082,3.496213
84,15,120,2.541929,0.678654,3.220583
85,14,105,2.021032,0.593648,2.61468
86,13,91,1.745875,0.513369,2.259244
87,12,78,1.486133,0.435034,1.9211669999999998
88,11,66,2.2321530000000003,0.371291,2.603444
89,10,55,0.928748,0.318585,1.247333
90,9,45,0.807862,0.24952200000000002,1.0573839999999999
91,8,36,1.022934,0.309611,1.332545
92,7,28,0.7320599999999999,0.229517,0.9615769999999999
93,6,21,0.5995590000000001,0.163331,0.7628900000000001
94,5,15,0.29076599999999997,0.10148499999999999,0.39225099999999996
95,4,10,0.20128600000000002,0.08827600000000001,0.28956200000000004
96,3,6,0.112339,0.066142,0.178481
97,2,3,0.06471500000000001,0.042329,0.107044
98,1,1,0.052194000000000004,0.027226999999999998,0.079421
99,1,1,0.029869000000000003,0.024712,0.054581000000000005
113,44,990,27.141163,4.689957,31.83112
114,43,946,25.347234,4.415762,29.762996
115,42,903,22.149505,3.9555320000000003,26.105037000000003
116,41,861,20.873126,3.610606,24.483732
117,40,820,19.721808,3.400144,23.121952
118,39,780,21.444174,5.330547,26.774721
119,38,741,17.405255,3.01388,20.419135
120,36,666,15.742283999999998,2.628852,18.371136
121,35,630,14.79298,2.488783,17.281763
122,33,561,12.160948,4.285428,16.446376
123,32,528,11.416174,3.746432,15.162606
124,31,496,10.638069,3.557265,14.195333999999999
125,30,465,9.646065,3.087331,12.733395999999999
126,29,435,9.169450000000001,2.822551,11.992001000000002
127,25,325,6.417388000000001,1.836617,8.254005000000001
128,24,300,5.920443,1.7299660000000001,7.650409
129,23,276,5.433477,1.507983,6.94146
130,22,253,4.9946410000000006,1.380054,6.374695000000001
131,21,231,4.518434,1.19106,5.709494
132,20,210,4.014072,1.0349389999999998,5.049010999999999
133,19,190,3.6254540000000004,0.919185,4.544639
134,18,171,3.229791,0.803222,4.033013
135,17,153,2.689749,0.694481,3.38423
136,16,136,2.3607020000000003,0.60484,2.965542
137,15,120,2.293047,0.620424,2.913471
138,14,105,1.819356,0.45061100000000004,2.269967
139,13,91,1.624047,0.37766900000000003,2.001716
140,12,78,1.342952,0.324602,1.667554
141,11,66,1.134056,0.26813,1.402186
142,10,55,0.9334760000000001,0.225432,1.158908
143,9,45,0.711646,0.180595,0.8922410000000001
144,8,36,0.533012,0.17999800000000002,0.71301
145,7,28,0.41275300000000004,0.124923,0.537676
146,6,21,0.326902,0.09985,0.426752
147,5,15,0.24884,0.07608000000000001,0.32492
148,4,10,0.135399,0.046872000000000004,0.182271
149,3,6,0.099721,0.032591,0.132312
150,2,3,0.048936,0.031549,0.080485
151,1,1,0.021393,0.010628,0.032021
155,44,990,29.644693,5.962014,35.606707
156,42,903,26.591305,5.488168,32.079473
157,38,741,19.401265000000002,4.044023,23.445288
158,37,703,18.560625,3.222377,21.783002000000003
159,35,630,15.778302000000002,2.903042,18.681344000000003
160,30,465,11.109293,3.671878,14.781170999999999
161,29,435,10.440007,3.348013,13.78802
162,27,378,9.235529,2.839437,12.074966
163,25,325,7.616836,2.2960480000000003,9.912884
164,24,300,7.179156,2.063663,9.242819
165,23,276,6.545557,1.917791,8.463348
166,22,253,5.951632,1.69715,7.648782
167,21,231,5.319488,1.525984,6.845472
168,20,210,4.476101,1.349844,5.825945
